Time,Cases,Close,next_Close
0,0,4352.100098,4315.410156
1,0,4324.77002,4322.740234
2,0,4344.259766,4300.080078
5,0,4246.680176,4041.560059
6,0,4323.930176,3294.219971
7,1,4315.410156,3294.219971
8,1,4322.740234,4033.98999
9,1,4300.080078,3993.01001
12,1,4041.560059,4317.410156
13,1,3294.219971,4105.879883
15,1,4033.98999,4548.319824
16,1,3993.01001,4546.569824
18,1,4331.569824,4546.569824
19,1,4317.410156,4526.379883
20,2,4105.879883,4458.790039
21,2,4571.970215,4502.680176
22,2,4548.319824,4483.859863
23,2,4546.569824,4470.0
26,2,4526.379883,4317.040039
27,2,4458.790039,4236.709961
28,2,4502.680176,4276.299805
29,2,4483.859863,4154.600098
30,2,4470.0,4026.22998
33,3,4317.040039,4294.100098
34,3,4236.709961,4081.840088
35,4,4276.299805,3254.01001
36,4,4154.600098,3254.01001
37,5,4026.22998,4076.620117
40,10,4294.100098,4271.359863
41,10,4081.840088,4271.359863
42,14,3254.01001,4213.319824
44,21,4076.620117,3095.48999
45,28,3976.030029,3095.48999
46,35,4145.959961,3095.48999
47,44,4271.359863,2935.310059
49,115,4213.319824,2905.76001
50,191,4557.419922,3011.969971
51,251,3095.48999,3040.689941
54,361,2935.310059,2911.419922
55,413,2982.669922,3112.070068
56,460,2905.76001,3252.199951
57,550,3011.969971,3321.669922
58,649,3040.689941,3209.090088
61,901,2911.419922,3225.080078
62,985,3112.070068,3382.459961
63,1084,3252.199951,3382.459961
64,1188,3321.669922,4359.759766
65,1301,3209.090088,4098.509766
68,1543,3225.080078,4078.409912
69,1672,3382.459961,4078.409912
71,1946,4359.759766,4263.319824
72,2107,4098.509766,4263.319824
74,2387,3580.929932,4547.169922
75,2509,4078.409912,4547.169922
77,2918,4151.029785,3385.76001
78,3056,4263.319824,3382.790039
80,3285,4256.029785,3382.790039
81,3360,4547.169922,3382.790039
83,3557,3534.090088,3347.800049
84,3732,3385.76001,3455.790039
85,3862,3382.790039,3502.719971
86,3982,3470.129883,3468.780029
89,4230,3461.629883,3505.580078
90,4373,3347.800049,3615.959961
91,4485,3455.790039,3748.909912
92,4609,3502.719971,3739.209961
93,4725,3468.780029,3739.209961
96,4966,3505.580078,3739.209961
97,5089,3615.959961,3615.919922
98,5228,3748.909912,4137.790039
99,5336,3739.209961,4137.790039
101,5470,4440.140137,4137.790039
102,5528,4024.560059,4380.47998
104,5722,3615.919922,4380.47998
105,5847,4137.790039,3605.110107
107,6050,4151.060059,3511.899902
109,6178,4380.47998,3511.899902
110,6206,4295.27002,3693.959961
112,6365,3605.110107,3765.340088
113,6443,3514.159912,3765.340088
114,6493,3511.899902,3752.77002
117,6602,3693.959961,3787.370117
118,6647,3706.889893,3880.129883
119,6688,3765.340088,3953.830078
121,6753,3752.77002,3957.98999
124,6823,3787.370117,3957.98999
125,6868,3880.129883,4485.859863
126,6901,3953.830078,3879.02002
127,6913,3998.189941,3336.790039
128,6943,3957.98999,3602.580078
132,7003,4485.859863,3602.580078
133,7018,3879.02002,4372.259766
134,7043,3336.790039,4281.77002
135,7055,3602.580078,4281.77002
137,7081,4055.310059,4281.77002
138,7085,4137.47998,3888.879883
140,7103,4372.259766,3983.169922
141,7110,4281.77002,3976.159912
145,7139,3888.879883,3936.820068
146,7155,4005.120117,3990.429932
147,7163,3983.169922,3921.0
148,7167,3976.159912,3931.580078
152,7190,3936.820068,3947.76001
153,7195,3990.429932,3927.389893
154,7200,3921.0,3927.389893
155,7217,3931.580078,4525.720215
156,7231,3926.76001,4525.720215
159,7243,3947.76001,4525.720215
160,7259,3927.389893,4006.459961
162,7271,4525.720215,4313.089844
164,7284,3444.02002,4313.089844
165,7286,3657.050049,4571.120117
167,7297,4006.459961,4056.320068
168,7300,4151.450195,4062.73999
169,7309,4313.089844,4058.97998
170,7317,4364.660156,4070.939941
172,7323,4571.120117,4070.939941
173,7327,4031.320068,4111.189941
174,7333,4056.320068,4122.709961
175,7338,4062.73999,4141.700195
176,7343,4058.97998,4206.200195
177,7352,4070.939941,4174.700195
180,7370,4111.189941,4142.339844
181,7382,4122.709961,4122.600098
182,7390,4141.700195,4101.080078
183,7401,4206.200195,4016.320068
184,7404,4174.700195,4078.959961
187,7426,4142.339844,4078.959961
188,7438,4122.600098,3434.52002
189,7447,4101.080078,3684.590088
190,7459,4016.320068,4128.899902
