Country/Region,Finland
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,1
1/30/20,1
1/31/20,1
1/2/20,1
2/2/20,1
3/2/20,1
4/2/20,1
5/2/20,1
6/2/20,1
7/2/20,1
8/2/20,1
9/2/20,1
10/2/20,1
11/2/20,2
12/2/20,2
2/13/20,2
2/14/20,2
2/15/20,2
2/16/20,2
2/17/20,2
2/18/20,2
2/19/20,2
2/20/20,2
2/21/20,2
2/22/20,2
2/23/20,3
2/24/20,3
2/25/20,3
2/26/20,4
2/27/20,4
2/28/20,5
2/29/20,8
1/3/20,9
2/3/20,10
3/3/20,10
4/3/20,14
5/3/20,20
6/3/20,21
7/3/20,28
8/3/20,35
9/3/20,44
10/3/20,61
11/3/20,115
12/3/20,191
3/13/20,251
3/14/20,279
3/15/20,308
3/16/20,361
3/17/20,413
3/18/20,460
3/19/20,550
3/20/20,649
3/21/20,736
3/22/20,823
3/23/20,901
3/24/20,985
3/25/20,1084
3/26/20,1188
3/27/20,1301
3/28/20,1396
3/29/20,1473
3/30/20,1543
3/31/20,1672
1/4/20,1797
2/4/20,1946
3/4/20,2107
4/4/20,2306
5/4/20,2387
6/4/20,2509
7/4/20,2718
8/4/20,2918
9/4/20,3056
10/4/20,3214
11/4/20,3285
12/4/20,3360
4/13/20,3440
4/14/20,3557
4/15/20,3732
4/16/20,3862
4/17/20,3982
4/18/20,4107
4/19/20,4163
4/20/20,4230
4/21/20,4373
4/22/20,4485
4/23/20,4609
4/24/20,4725
4/25/20,4817
4/26/20,4893
4/27/20,4966
4/28/20,5089
4/29/20,5228
4/30/20,5336
1/5/20,5422
2/5/20,5470
3/5/20,5528
4/5/20,5589
5/5/20,5722
6/5/20,5847
7/5/20,5942
8/5/20,6050
9/5/20,6131
10/5/20,6178
11/5/20,6206
12/5/20,6298
5/13/20,6365
5/14/20,6443
5/15/20,6493
5/16/20,6548
5/17/20,6573
5/18/20,6602
5/19/20,6647
5/20/20,6688
5/21/20,6731
5/22/20,6753
5/23/20,6785
5/24/20,6803
5/25/20,6823
5/26/20,6868
5/27/20,6901
5/28/20,6913
5/29/20,6943
5/30/20,6964
5/31/20,6974
1/6/20,6986
2/6/20,7003
3/6/20,7018
4/6/20,7043
5/6/20,7055
6/6/20,7068
7/6/20,7081
8/6/20,7085
9/6/20,7095
10/6/20,7103
11/6/20,7110
12/6/20,7119
6/13/20,7132
6/14/20,7134
6/15/20,7139
6/16/20,7155
6/17/20,7163
6/18/20,7167
6/19/20,7175
6/20/20,7175
6/21/20,7177
6/22/20,7190
6/23/20,7195
6/24/20,7200
6/25/20,7217
6/26/20,7231
6/27/20,7234
6/28/20,7236
6/29/20,7243
6/30/20,7259
1/7/20,7269
2/7/20,7271
3/7/20,7278
4/7/20,7284
5/7/20,7286
6/7/20,7289
7/7/20,7297
8/7/20,7300
9/7/20,7309
10/7/20,7317
11/7/20,7323
12/7/20,7323
7/13/20,7327
7/14/20,7333
7/15/20,7338
7/16/20,7343
7/17/20,7352
7/18/20,7358
7/19/20,7365
7/20/20,7370
7/21/20,7382
7/22/20,7390
7/23/20,7401
7/24/20,7404
7/25/20,7414
7/26/20,7418
7/27/20,7426
7/28/20,7438
7/29/20,7447
7/30/20,7459
7/31/20,7467
1/8/20,7485
2/8/20,7500
3/8/20,7510
4/8/20,7545
